NAME,LATITUDE,LONGITUDE,TYPE
Duggan,53.47206402,-113.5075879,Ball Diamond
River Valley,53.53263315,-113.4945729,Ball Diamond
ME Lazerte,53.60769964,-113.4478294,Ball Diamond
Jackson Heights,53.48358084,-113.4072128,Ball Diamond
Westview Village,53.55411177,-113.6925238,Ball Diamond
Rundle Park,53.55608823,-113.3841027,Ball Diamond
Fulton Place,53.54571095,-113.4264855,Ball Diamond
George Luck,53.47317077,-113.576562,Ball Diamond
St Charles,53.63084413,-113.5030932,Ball Diamond
Clareview Park,53.60363538,-113.4065355,Ball Diamond
Casselman,53.61137367,-113.4194969,Ball Diamond
Forest Heights Park,53.54268527,-113.4586086,Ball Diamond
John Fry Park,53.46236998,-113.4765615,Ball Diamond
St Augustine,53.47353939,-113.5087532,Ball Diamond
Meadowlark,53.5248346,-113.5967504,Ball Diamond
Jasper Place,53.52470841,-113.6070454,Ball Diamond
Nellie Carlson,53.44390948,-113.5591472,Ball Diamond
Daly Grove,53.44832565,-113.4018644,Ball Diamond
Kirkness,53.61333698,-113.3905526,Ball Diamond
Sherbrooke,53.5766653,-113.547438,Ball Diamond
St Bernadette,53.57342632,-113.4022459,Ball Diamond
Michaels Park,53.48043997,-113.4489679,Ball Diamond
Balwin,53.59101165,-113.4503855,Ball Diamond
Winterburn,53.53602402,-113.6887374,Ball Diamond
Our Lady Of Victories,53.51470444,-113.5918466,Ball Diamond
Tipaskan,53.46250261,-113.4584687,Ball Diamond
Kirkness,53.61220043,-113.3893909,Ball Diamond
Meadowlark,53.52652685,-113.5961707,Ball Diamond
Evansdale,53.60976185,-113.4841905,Ball Diamond
Glastonbury,53.50549447,-113.6711287,Ball Diamond
Lymburn,53.50750832,-113.6439577,Ball Diamond
St Brides,53.54665016,-113.4443433,Ball Diamond
Daly Grove,53.44853082,-113.4025831,Ball Diamond
St Bedes,53.5495171,-113.4074162,Ball Diamond
Ermineskin,53.45854183,-113.5042582,Ball Diamond
Rutherford,53.52332525,-113.4693217,Ball Diamond
Oleskiw,53.49818425,-113.608392,Ball Diamond
Rundle Park,53.55675716,-113.3845551,Ball Diamond
JC Bowen,53.60973805,-113.4745479,Ball Diamond
Abbottsfield,53.57411813,-113.3914561,Ball Diamond
St Jerome,53.56155768,-113.3913711,Ball Diamond
Belgravia,53.51008319,-113.5328983,Ball Diamond
