NAME,LATITUDE,LONGITUDE,TYPE
Ellerslie Park,53.43049306,-113.4587376,Soccer Field
Dovercourt,53.5749666,-113.562119,Soccer Field
St John Bosco,53.62163306,-113.4615835,Soccer Field
Belmont,53.5944592,-113.3934555,Soccer Field
Kensington,53.59639266,-113.5297685,Soccer Field
Richard Secord,53.47702632,-113.5333682,Soccer Field
Dunluce,53.62168424,-113.5264261,Soccer Field
Brintnell,53.61954203,-113.4069492,Soccer Field
Velma E Baker,53.47976905,-113.383698,Soccer Field
Belgravia,53.50951193,-113.5325385,Soccer Field
Northmount,53.60380875,-113.4778631,Soccer Field
Foote Field,53.50403043,-113.5247174,Soccer Field
St. Kateri,53.4762732,-113.4031022,Soccer Field
Johnny Bright,53.41957918,-113.5334077,Soccer Field
St Matthew,53.59128621,-113.4754022,Soccer Field
Riverbend,53.49235169,-113.5778514,Soccer Field
St Paul,53.53343339,-113.5721595,Soccer Field
Bisset,53.46014848,-113.3998443,Soccer Field
Daly Grove,53.44967186,-113.401344,Soccer Field
St Rose,53.52115194,-113.5690011,Soccer Field
RJ Scott,53.56927302,-113.4022098,Soccer Field
Club Soccer,53.42649613,-113.4140751,Soccer Field
Rosslyn,53.59384494,-113.5148869,Soccer Field
John Paul I,53.47108679,-113.4267516,Soccer Field
Eaux Claires,53.62176544,-113.4843029,Soccer Field
Klarvatten,53.63433706,-113.4747948,Soccer Field
Ormsby Place,53.49892259,-113.6375059,Soccer Field
John Paul I,53.47147905,-113.4274005,Soccer Field
Edmonton Minor Soccer Association,53.42920956,-113.4070761,Soccer Field
Dickinsfield,53.60534422,-113.4789651,Soccer Field
Archbishop Joseph MacNeil,53.46040844,-113.5787702,Soccer Field
McKernan,53.51292127,-113.5230301,Soccer Field
Lago Lindo,53.6357961,-113.4858089,Soccer Field
Norwood,53.56093597,-113.4873608,Soccer Field
St Anne,53.60491919,-113.4827839,Soccer Field
Dan Knott,53.44651554,-113.4552908,Soccer Field
Kildare,53.60633791,-113.4546486,Soccer Field
Waverly,53.52332726,-113.4330378,Soccer Field
Ellerslie,53.42636136,-113.4407225,Soccer Field
Youngstown,53.54620577,-113.6043169,Soccer Field
Caernarvon,53.60892419,-113.5268062,Soccer Field
Minchau,53.46826369,-113.4070422,Soccer Field
Confederation,53.4816192,-113.5214811,Soccer Field
Keheewin,53.45068377,-113.5060974,Soccer Field
Blue Quill,53.45914191,-113.522274,Soccer Field
Steinhauer,53.46439979,-113.5073708,Soccer Field
Keheewin,53.44938707,-113.5063179,Soccer Field
Edmonton Soccer Centre South,53.4975674,-113.4346379,Soccer Field
Holy Cross,53.54774545,-113.5808185,Soccer Field
Carlisle Park,53.60433334,-113.5241019,Soccer Field
Belmont,53.59445782,-113.3928895,Soccer Field
St Martha,53.50630592,-113.6369418,Soccer Field
S Bruce Smith,53.49077864,-113.6373962,Soccer Field
St Elizabeth Seton,53.59579754,-113.3937975,Soccer Field
Westminister,53.54759606,-113.5582443,Soccer Field
St Brides,53.54688297,-113.4443146,Soccer Field
Eaux Claires,53.62258338,-113.4848585,Soccer Field
St Dominic,53.6078219,-113.4327439,Soccer Field
JJ Bowlen,53.60612328,-113.4353864,Soccer Field
Elsinore,53.64243621,-113.50411,Soccer Field
Duggan,53.47200329,-113.505022,Soccer Field
Fraser,53.61176253,-113.3740316,Soccer Field
Lynnwood,53.51609997,-113.5890176,Soccer Field
Youngstown,53.54573542,-113.6037788,Soccer Field
Laurier Heights,53.51605439,-113.5667192,Soccer Field
Terwillegar Towne,53.44927109,-113.575163,Soccer Field
Baturyn,53.63143375,-113.5042107,Soccer Field
Haddow,53.45505654,-113.5976908,Soccer Field
Ben Calf Robe,53.57158152,-113.4378257,Soccer Field
Clareview Park,53.60154955,-113.4056941,Soccer Field
John Barnett,53.61027563,-113.4514944,Soccer Field
Caernarvon,53.60976612,-113.5274551,Soccer Field
Holy Family,53.44644692,-113.4061323,Soccer Field
St Stanislaus,53.47516845,-113.5251176,Soccer Field
Holyrood,53.53269227,-113.4497227,Soccer Field
LaPerle W,53.53246766,-113.6451864,Soccer Field
Kensington,53.59624513,-113.5297362,Soccer Field
St Matthew,53.59127922,-113.4748644,Soccer Field
Mount Pleasant,53.496128,-113.5028383,Soccer Field
Kameyosek,53.4616012,-113.4449893,Soccer Field
St Gabriel,53.55123749,-113.4234293,Soccer Field
Our Lady Of Victories,53.51454725,-113.5941205,Soccer Field
Malcolm Tweedle,53.4779646,-113.4566245,Soccer Field
Mount Pleasant,53.49613622,-113.502273,Soccer Field
The Hamptons,53.49254356,-113.6885558,Soccer Field
St Cecilia,53.59329627,-113.4782827,Soccer Field
Summerlea,53.52760553,-113.6226542,Soccer Field
Westlawn,53.53356484,-113.6091477,Soccer Field
St Bernard,53.53417882,-113.439311,Soccer Field
Kirkness,53.61209205,-113.3876517,Soccer Field
Avonmore,53.51056308,-113.4502357,Soccer Field
Keheewin,53.44999836,-113.5025076,Soccer Field
Rio Terrace,53.50862557,-113.587113,Soccer Field
Princeton,53.5904605,-113.4581637,Soccer Field
St Richard,53.44724768,-113.4273174,Soccer Field
St. Kateri,53.47536546,-113.4015573,Soccer Field
Holy Cross,53.54782008,-113.5803289,Soccer Field
LaPerle W,53.53148323,-113.6439257,Soccer Field
Westglen,53.55459132,-113.5434731,Soccer Field
Michaels Park,53.47996713,-113.4501954,Soccer Field
Meyonohk,53.45634931,-113.4558972,Soccer Field
Highlands,53.57023805,-113.4334541,Soccer Field
St James,53.51454288,-113.4573898,Soccer Field
McDougall,53.55508921,-113.5050415,Soccer Field
Overlander,53.58255904,-113.3851824,Soccer Field
Kirkness,53.61273916,-113.3887995,Soccer Field
Matt Berry,53.6217982,-113.4336603,Soccer Field
Montrose,53.57259319,-113.4342185,Soccer Field
McQueen,53.55543004,-113.5708026,Soccer Field
Holy Family,53.44737805,-113.4070763,Soccer Field
Mount Pleasant,53.49496493,-113.5013293,Soccer Field
Floden Pk,53.56390726,-113.4051573,Soccer Field
St Vladimir,53.59321287,-113.4570204,Soccer Field
JC Bowen,53.61020841,-113.474411,Soccer Field
St Edmund,53.59108421,-113.5257516,Soccer Field
Youngstown,53.5458565,-113.6043142,Soccer Field
